entry_time,exit_time,side,exit_reason,R,pnl_equity_pct
2019-09-19 03:15:00+00:00,2019-09-19 03:20:00+00:00,SHORT,TP,2.9090909090909416,1.3712665226398562
2019-09-21 12:45:00+00:00,2019-09-21 12:50:00+00:00,SHORT,SL,-1.0,-0.6486157648194157
2019-09-23 14:30:00+00:00,2019-09-23 14:45:00+00:00,SHORT,SL,-1.0,-0.6456312593480814
2019-09-23 22:20:00+00:00,2019-09-23 22:25:00+00:00,SHORT,SL,-1.0,-0.5993080944429612
2019-09-24 18:45:00+00:00,2019-09-24 18:50:00+00:00,SHORT,TRAIL,12.924058135095468,6.371137894759904
2019-09-26 15:50:00+00:00,2019-09-26 15:55:00+00:00,SHORT,TRAIL,0.7713659417834743,0.3292841755763186
2019-09-30 04:30:00+00:00,2019-09-30 04:45:00+00:00,SHORT,TRAIL,1.272224595687044,0.5488999733211449
2019-10-03 14:30:00+00:00,2019-10-03 14:40:00+00:00,SHORT,TRAIL,1.2107791941961963,0.48998728825949933
2019-10-06 07:00:00+00:00,2019-10-06 07:15:00+00:00,SHORT,TRAIL,0.7442780206605499,0.23203392350019328
2019-10-06 18:45:00+00:00,2019-10-06 19:50:00+00:00,SHORT,SL,-1.0,-0.5884442665891535
2019-10-13 16:30:00+00:00,2019-10-13 16:45:00+00:00,LONG,SL,-1.0,-0.6788836414694348
2019-10-15 16:15:00+00:00,2019-10-15 22:15:00+00:00,SHORT,TIME,0.5807202904228824,0.19202955729132287
2019-10-16 12:30:00+00:00,2019-10-16 12:35:00+00:00,SHORT,TRAIL,0.8278522165908875,0.2849128970377842
2019-10-18 05:45:00+00:00,2019-10-18 06:00:00+00:00,SHORT,TRAIL,0.9964083651680503,0.3750785240135391
2019-10-23 12:45:00+00:00,2019-10-23 12:50:00+00:00,SHORT,TRAIL,4.083608014771988,1.97435265839324
2019-10-23 16:00:00+00:00,2019-10-23 16:05:00+00:00,SHORT,SL,-1.0,-0.5652486123536167
2019-10-26 01:10:00+00:00,2019-10-26 01:15:00+00:00,LONG,SL,-1.0,-0.5370087667615869
2019-10-27 16:40:00+00:00,2019-10-27 17:10:00+00:00,LONG,SL,-1.0,-0.5407936044123828
2019-11-04 20:30:00+00:00,2019-11-04 20:35:00+00:00,LONG,TRAIL,2.5966830795600893,1.1777908713777152
2019-11-08 13:25:00+00:00,2019-11-08 13:30:00+00:00,SHORT,TRAIL,3.969532035598176,1.856893846922814
2019-11-11 09:25:00+00:00,2019-11-11 09:35:00+00:00,SHORT,BE,0.0,-0.10532890367007613
2019-11-12 15:20:00+00:00,2019-11-12 15:30:00+00:00,SHORT,SL,-1.0,-0.6228614711308943
2019-11-14 08:00:00+00:00,2019-11-14 08:05:00+00:00,SHORT,SL,-1.0,-0.6920626282580215
2019-11-15 14:30:00+00:00,2019-11-15 14:35:00+00:00,SHORT,BE,0.0,-0.1287154729054248
2019-11-18 17:30:00+00:00,2019-11-18 18:10:00+00:00,SHORT,TRAIL,1.1539289999613773,0.41134436152850373
2019-11-21 09:00:00+00:00,2019-11-21 09:20:00+00:00,SHORT,TRAIL,1.6293148761824074,0.66638609648687
2019-11-21 14:40:00+00:00,2019-11-21 14:55:00+00:00,SHORT,TRAIL,0.8145125887532273,0.2725936130869854
2019-11-22 09:15:00+00:00,2019-11-22 09:20:00+00:00,SHORT,SL,-1.0,-0.5628662237390586
2019-11-22 14:05:00+00:00,2019-11-22 14:10:00+00:00,SHORT,BE,0.0,-0.04546139856758699
2019-11-24 14:45:00+00:00,2019-11-24 14:50:00+00:00,SHORT,TRAIL,0.7735503914358158,0.3082175349536333
2019-11-25 00:25:00+00:00,2019-11-25 00:35:00+00:00,SHORT,SL,-1.0,-0.5650482852355533
2019-11-25 05:20:00+00:00,2019-11-25 06:40:00+00:00,SHORT,SL,-1.0,-0.5491602157293951
2019-11-29 14:15:00+00:00,2019-11-29 16:00:00+00:00,LONG,BE,0.0,-0.06604035778582007
2019-12-04 00:45:00+00:00,2019-12-04 01:00:00+00:00,SHORT,TRAIL,1.9663048841469828,0.8690539308534205
2019-12-12 01:55:00+00:00,2019-12-12 02:00:00+00:00,SHORT,SL,-1.0,-0.6332150462475943
2019-12-14 11:30:00+00:00,2019-12-14 11:35:00+00:00,SHORT,SL,-1.0,-0.7191156804940602
2019-12-14 15:25:00+00:00,2019-12-14 15:30:00+00:00,SHORT,SL,-1.0,-0.6954383155644253
